id,INCIDENT,FIRST_OCCURENCE_DATE,LAST_OCCURENCE_DATE,REPORTDATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,DISTRICT,PRECINCT,OFFENSE_CODE,OFFENSE_TYPE,OFFENSE_CATEGORY,MJ_RELATION_TYPE,NEIGHBORHOOD
1,2014679515,24-Dec-14,24-Dec-14,24-Dec-14,4105 N JASON ST,3140597,1706917,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",sunnyside
2,2014498488,19-Sep-14,20-Sep-14,20-Sep-14,2424 E 43RD AVE,3152489,1708074,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
3,201690330,12-Feb-16,12-Feb-16,12-Feb-16,2193 W EVANS AVE,3137109,1672567,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",college-view-south-platte
4,2016403549,27-Jun-16,27-Jun-16,27-Jun-16,2420 S COLORADO BLVD,3157568,1670426,3,314,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",university-hills
5,201318891,12-Jan-13,12-Jan-13,12-Jan-13,9700 E ILIFF AVE,3176311,1670689,3,323,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",hampden
6,20122767,3-Jan-12,3-Jan-12,3-Jan-12,3900 E 48TH AVE,3156932,1710798,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
7,2016420936,3-Jul-16,4-Jul-16,4-Jul-16,3880 N HOLLY ST,3162502,1706158,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",northeast-park-hill
8,2014286595,5-Jun-14,5-Jun-14,5-Jun-14,1300 N ADAMS ST,3155218,1693801,2,213,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,"NON-INDUSTRY",congress-park
9,2016553502,30-Aug-16,30-Aug-16,30-Aug-16,330 S DAYTON ST,3175842,1683494,3,321,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",windsor
10,2012175897,19-Apr-12,27-Apr-12,28-Apr-12,1811 S QUEBEC WAY,3170571,1674383,3,322,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,"NON-INDUSTRY",indian-creek
11,2012510486,1-Nov-12,1-Nov-12,1-Nov-12,2243 N FEDERAL BLVD,3133363,1698718,1,121,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",sloan-lake
12,2012541011,21-Nov-12,21-Nov-12,21-Nov-12,2949 W ALAMEDA AVE,3133738,1684368,4,411,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",valverde
13,2013168365,12-Apr-13,13-Apr-13,15-Apr-13,1200 S ONEIDA ST,3166599,1678838,3,322,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,"NON-INDUSTRY",washington-virginia-vale
14,2012217786,22-May-12,,23-May-12,N GRAPE ST / E 36TH AVE,3161747,1704924,2,221,2404,THEFT - OF MOTOR VEHICLE,Auto Theft,"INDUSTRY",northeast-park-hill
15,2015557975,25-Sep-15,,26-Sep-15,20 E 9TH AVE,3144383,1691311,6,623,3560,DRUG - MARIJUANA SELL,Drug Offenses,"INDUSTRY",capitol-hill
16,2014282243,2-Jun-14,,2-Jun-14,1239 W NEVADA PL,3139939,1684058,4,412,5312,DISTURBING THE PEACE,All Other Crimes,"INDUSTRY",athmar-park
17,201674971,4-Feb-16,5-Feb-16,5-Feb-16,2394 S BROADWAY ST,3144328,1670502,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",rosedale
18,201628453,14-Jan-16,14-Jan-16,14-Jan-16,1127 S ELIZABETH ST,3153039,1678868,3,312,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,"NON-INDUSTRY",cory-merrill
19,2016803636,18-Dec-16,,18-Dec-16,1055 S FOX ST,3142161,1679300,4,412,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",athmar-park
20,201632070,16-Jan-16,16-Jan-16,16-Jan-16,777 N CANOSA CT,3134946,1690779,1,122,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",sun-valley
21,2014351759,7-Jul-14,8-Jul-14,8-Jul-14,1178 S KALAMATH ST,3140643,1678536,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",ruby-hill
22,2013311801,6-Jul-13,6-Jul-13,6-Jul-13,1285 S VRAIN ST,3127651,1677796,4,421,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,"NON-INDUSTRY",mar-lee
23,2015568265,23-Sep-15,29-Sep-15,30-Sep-15,3900 E 48TH AVE,3156932,1710798,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
24,2016788531,11-Dec-16,11-Dec-16,11-Dec-16,505 W 40TH AVE,3142219,1706451,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",globeville
25,2013153588,5-Apr-13,6-Apr-13,6-Apr-13,109 W 12TH AVE,3143692,1693124,6,611,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,"NON-INDUSTRY",civic-center
26,2012341822,28-Jul-12,29-Jul-12,29-Jul-12,3301 E 42ND AVE,3155008,1707742,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
27,2014140417,18-Mar-14,18-Mar-14,19-Mar-14,330 S DAYTON ST,3175842,1683494,3,321,2399,THEFT - OTHER,Larceny,"INDUSTRY",windsor
28,20146010214,28-Oct-14,28-Oct-14,28-Oct-14,536 N INCA ST,3141416,1689339,3,311,2399,THEFT - OTHER,Larceny,"NON-INDUSTRY",baker
29,2012104962,14-Mar-12,,14-Mar-12,E COLFAX AVE / N BROADWAY ST,3144156,1694853,6,621,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",civic-center
30,2013418680,2-Sep-13,2-Sep-13,2-Sep-13,4773 N FOX ST,3142062,1710572,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",globeville
31,2013610421,19-Dec-13,19-Dec-13,19-Dec-13,16199 E GVR BLVD,3196824,1711193,5,522,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,"NON-INDUSTRY",gateway-green-valley-ranch
32,2013394749,20-Aug-13,,20-Aug-13,1569 S COLORADO BLVD,3157183,1676049,3,312,1316,THREATS TO INJURE,All Other Crimes,"INDUSTRY",cory-merrill
33,2016819229,26-Dec-16,26-Dec-16,26-Dec-16,1810 S BROADWAY ST,3144329,1674322,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",platt-park
34,2012116883,22-Mar-12,22-Mar-12,22-Mar-12,3857 N ELM ST,3160364,1706030,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",northeast-park-hill
35,2014644518,5-Dec-14,5-Dec-14,5-Dec-14,395 N YUMA ST,3136294,1688197,4,411,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",valverde
36,2014559639,20-Oct-14,21-Oct-14,21-Oct-14,3932 N ADAMS ST,3155048,1706464,2,212,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,"NON-INDUSTRY",clayton
